# gpu     sm    mem    enc    dec    jpg    ofa
# Idx      %      %      %      %      %      %
    0      0     19      0      0      0      0
    0     46     46      0      0      0      0
    0     39     44      0      0      0      0
    0     41     43      0      0      0      0
    0     36     41      0      0      0      0
    0     41     46      0      0      0      0
    0     44     49      0      0      0      0
    0     92    100      0      0      0      0
    0      0      1      0      0      0      0
    0     92    100      0      0      0      0
    0     94    100      0      0      0      0
    0     92    100      0      0      0      0
    0      0      1      0      0      0      0
    0      0      1      0      0      0      0
    0     92    100      0      0      0      0
    0    100     49      0      0      0      0
    0     93    100      0      0      0      0
    0     92    100      0      0      0      0
    0     93    100      0      0      0      0
    0     93    100      0      0      0      0
    0     92    100      0      0      0      0
    0     92    100      0      0      0      0
    0     93    100      0      0      0      0
    0     96     66      0      0      0      0
    0    100     48      0      0      0      0
    0     54     60      0      0      0      0
    0      1      1      0      0      0      0
    0      1      1      0      0      0      0
    0      1      1      0      0      0      0
    0      1      1      0      0      0      0
